account_id,frst_name,last_name,password,balance_checking,balance_savings,status_checking,status_savings
10001,suresh,sigera,juagw362,1000.0,10000.0,active,active
10002,james,taylor,idh36%@#FGd,9800.0,10000.0,active,active
10003,melvin,gordon,uYWE732g4ga1,2000.0,20000.0,active,active
10004,stacey,abrams,DEU8_qw3y72$,2000.0,19500.0,active,active
10005,jake,paul,d^dg23g)@,100500.0,100500.0,active,active
10006,Danah,Alsubaie,d1234,950.0,13050.0,active,active
10007,Sami,Alsubaie,345A,3500.0,-125.0,active,inactive
10008,George,Jones,123,3000.0,-125.0,active,inactive
10009,Bruno,Mars,24K,0.0,0.0,active,active
10010,Danah,Alsubaie,7674#,101000.0,0.0,active,active
10011,Danah,Alsubaie,d1234,49000.0,0.0,active,active
10012,Danah,Alsubaie,@1234,30000.0,0.0,active,active
10013,Danah,Alsubaie,d1234@,27500.0,-135.0,active,active
10014,Danah,Sami,d123,0.0,-125.0,active,inactive
10015,Danah,Alsubaie,#1234,0.0,0.0,active,active
10016,Danah,Alsubaie,#1234,0.0,0.0,active,active
10017,,,,0.0,0,active,no_savings
10018,Sara,alsubair,123,0.0,0,active,no_savings
10019,Danah,sami,ojsshjwj,0.0,0,active,no_savings
10020,dan,sami,1234,0.0,0,active,no_savings
10021,Danah,Alsubaie,#123,0.0,0.0,active,active
